feature,importance
risk_score,0.3023743151911168
timestamp_days_since,0.14163764909419002
access_item,0.09620895659111849
role,0.0865197261993085
requester_role,0.0767115055085512
timestamp_hour,0.0716894037043095
timestamp_day_of_week,0.06360756340921579
department,0.06260497534196968
location,0.044232107553768225
seniority_level,0.029036756961287737
timestamp_month,0.022128377973766204
timestamp_year,0.0032486624713978867
last_used_date_year,0.0
frequency,0.0
access_type,0.0
last_used_date_days_since,0.0
last_used_date_hour,0.0
last_used_date_day_of_week,0.0
last_used_date_month,0.0
